"","EXPID","REFID","RYEAR","RTYPE","RJRNL","RAUTHOR","RTITLE","RPUBLISHER","RPUBDATE","RLANGUAGE","RCITATION","RYAK94","RNOTES"
"146","LHOT85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:232 (1986)",NA,"20"
"147","PUMO85101","01","1985",2,"AAJ","Haid, Arthur",NA,NA,"1986",NA,"60:232 (1986)",NA,NA
"148","PUMO85102","01","1985",2,"AAJ","Matas, Jaume",NA,NA,"1986",NA,"60:232 (1986)",NA,"21"
"149","CHOY85103","01","1985",2,"AAJ","Garaioa, Xabier",NA,NA,"1986",NA,"60:234 (1986)",NA,NA
"150","CHOY85102","01","1985",2,"AAJ","Ying Dao-Shui",NA,NA,"1986",NA,"60:234 (1986)",NA,NA
"151","CHOY85101","01","1985",2,"AAJ",NA,NA,NA,"1986",NA,"60:234-235 (1986)",NA,NA
"152","CHOY85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:235 (1986)",NA,NA
"153","CHOY85401","01","1985",2,"AAJ","Marshall, Roger",NA,NA,"1986",NA,"60:235-236 (1986)",NA,NA
"154","CHOB85101","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:236 (1986)",NA,NA
"155","GAUR85101","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:236 (1986)",NA,NA
"156","GAUR85301","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:236 (1986)",NA,NA
"157","GAUR85401","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:237 (1986)",NA,NA
"158","KARY85401","01","1985",2,"AAJ","Cheney, Michael J. & Hawley, Elizabeth",NA,NA,"1986",NA,"60:237 (1986)",NA,NA
